#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 46.95447358309446
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.1
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 0.001
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.278110396862029
#Mean swelling ratio: 5.278
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.6425646742103894
#Actual volume fraction: 0.0
#MC steps: 150000
#Equilibration steps: 50000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.00278, 0.7746958828395951, 6.626, 0.8090315827506269, 0.14961564580975836, 3.175E-5, 0.005399325084364455
0.00283, 0.7666740741175835, 6.556, 0.7976561473908479, 0.14837665934085406, 3.35E-5, 0.005117270788912579
0.00288, 0.7598559843257046, 6.49, 0.7874792224339475, 0.1424748708979937, 3.525E-5, 0.00486322188449848
0.00294, 0.754754793626606, 6.428, 0.781002724001163, 0.1474798164666076, 3.7000000000000005E-5, 0.004633204633204634
0.003, 0.7507112032841166, 6.369, 0.7752950229660113, 0.14431116935264537, 3.875000000000001E-5, 0.004423963133640551
0.00301, 0.736139616756616, 6.314, 0.7576736709769546, 0.1468559558786652, 4.050000000000001E-5, 0.004232804232804231
0.00304, 0.726944297394722, 6.261, 0.7461813337979434, 0.1498768071457566, 4.225000000000001E-5, 0.004057480980557903
0.00316, 0.7376600256465047, 6.21, 0.7571090580486406, 0.13445729656722907, 4.400000000000001E-5, 0.003896103896103895
0.00318, 0.7262653224290165, 6.163, 0.7444071887453751, 0.14682751319003368, 4.5750000000000014E-5, 0.003747072599531614
0.00323, 0.7224333610763476, 6.117, 0.7393966657953096, 0.1439211102297559, 4.7500000000000016E-5, 0.0036090225563909753
