#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 49.02230339783615
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 0.001
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.5154305577278135
#Mean swelling ratio: 5.515
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.6442723410151386
#Actual volume fraction: 0.0
#MC steps: 150000
#Equilibration steps: 50000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.00245, 0.7789881676651467, 6.926, 0.8142440966749658, 0.14971770201059828, 3.175E-5, 0.005399325084364454
0.00251, 0.7755503278886905, 6.853, 0.8079020744842071, 0.1402487806068326, 3.35E-5, 0.0051172707889125795
0.00252, 0.7589903735341611, 6.784, 0.786846930928605, 0.14553527092417753, 3.525E-5, 0.00486322188449848
0.00256, 0.7509739998101015, 6.719, 0.7765615638938614, 0.1477982619523077, 3.7000000000000005E-5, 0.004633204633204632
0.0026, 0.743689362675317, 6.657, 0.7672516929440064, 0.14968220855640182, 3.875000000000001E-5, 0.004423963133640551
0.00267, 0.7448322814430433, 6.599, 0.7674221676850347, 0.14308039860666155, 4.050000000000001E-5, 0.0042328042328042305
0.00267, 0.7286788123095329, 6.544, 0.7483037134935961, 0.14820174926927637, 4.225000000000001E-5, 0.004057480980557903
0.00272, 0.7256426461446908, 6.491000000000001, 0.7440904298956312, 0.1465196008207231, 4.400000000000001E-5, 0.003896103896103895
0.00276, 0.720290989276227, 6.441, 0.7376778223656526, 0.14922624682020166, 4.5750000000000014E-5, 0.003747072599531614
0.0028, 0.715458766353838, 6.393, 0.7318064613422816, 0.14894857608400283, 4.7500000000000016E-5, 0.0036090225563909753
0.00286, 0.7158055848158472, 6.347, 0.7315403876763911, 0.14460585395623515, 4.925000000000002E-5, 0.0034807831762146465
0.0029, 0.7116236586550744, 6.303, 0.726493596917621, 0.14601765750460338, 5.100000000000002E-5, 0.003361344537815124
0.00294, 0.7079854460573415, 6.261, 0.7218524872773379, 0.1437278591662819, 5.275000000000002E-5, 0.0032498307379823952
0.00296, 0.6998516456345016, 6.221, 0.7127659027451391, 0.1468273020404547, 5.4500000000000024E-5, 0.0031454783748361705
0.003, 0.6967387759930967, 6.182, 0.708920327834653, 0.1458723008108893, 5.6250000000000026E-5, 0.003047619047619046
0.00306, 0.698036202583979, 6.144, 0.7100198424180945, 0.1451958732655661, 5.800000000000003E-5, 0.00295566502463054
0.00308, 0.6908673164607996, 6.108000000000001, 0.7021150882997215, 0.1478059418531283, 5.975000000000003E-5, 0.0028690974297668845
0.00312, 0.6882804914485209, 6.073, 0.6991072066612612, 0.14896786386525934, 6.150000000000003E-5, 0.0027874564459930296
0.00315, 0.6840355854698086, 6.04, 0.6941320130399763, 0.1460903517118179, 6.325000000000003E-5, 0.0027103331451157524
0.0032, 0.6838822798026024, 6.0070000000000014, 0.6937800729645363, 0.14647257229462013, 6.500000000000003E-5, 0.002637362637362635
0.00324, 0.6819748118330086, 5.975, 0.6914269991502229, 0.14470423992175305, 6.675000000000004E-5, 0.0025682182985553755
0.00328, 0.6801674182238024, 5.945, 0.6892590691243803, 0.14314642338660769, 6.850000000000004E-5, 0.002502606882168925
0.00331, 0.6763637350246743, 5.915, 0.6851932297628344, 0.14990733352773775, 7.025000000000004E-5, 0.002440264361972545
0.00335, 0.6748836062664023, 5.886, 0.6833888015316173, 0.146203847032083, 7.200000000000004E-5, 0.0023809523809523794
0.0034, 0.6753641889135839, 5.858000000000001, 0.683743150861873, 0.14562284004115553, 7.375000000000004E-5, 0.0023244552058111364
0.00341, 0.6684159047717814, 5.831, 0.6762479665843837, 0.14982539529087457, 7.550000000000005E-5, 0.0022705771050141894
0.00343, 0.6636288033034533, 5.805, 0.6709995933570214, 0.14878651883893693, 7.725000000000005E-5, 0.0022191400832177514
0.00348, 0.6645177912031137, 5.779, 0.6717640540971327, 0.14845447634046333, 7.900000000000005E-5, 0.0021699819168173582
0.00351, 0.6616752009110912, 5.754, 0.6687780264780253, 0.14989111097037708, 8.075000000000005E-5, 0.002122954444935867
0.00355, 0.6610133575259135, 5.729, 0.6678240780253643, 0.14595411739967162, 8.250000000000005E-5, 0.0020779220779220766
0.00358, 0.6584716539551329, 5.706, 0.6651087705302011, 0.1495257977450277, 8.425000000000006E-5, 0.0020347604917337835
